Image_name,RepoTags,Download_counts,Architecture,Os,Size,Layer_hash,Layer_number,Layer_allCount,Layer_size
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:0d81735d8272465865b21615e57746b82ffd4180c9ef4a2ed6e7bfe7464cc156,3,15,655
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:84208aaf511d38a8ac49443d1f479600b855aa7d23dd0f5bee9c334be45a5a86,5,15,2590
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:2980e179e8bfa0dec3b5f955912d7d5ae640ce32a0103a5f00961ff854444e7f,6,15,2181
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:b320b132c949a58ff8dc4b2fe5ea9b31185a67a7442523cf49adbf08ddfdc276,7,15,25292
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:f0abb91c41ff99c52ed092dea4a73aae8ca0f0670843ef737e39cf8eede1731e,8,15,1698693
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:25cda0a9b1bc01bf8e885ae8af8ea34d8745e6ac63559da89e3d83012cf0ffc6,9,15,198656
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:249dcffb646c988793c9d829940b6241367b48a9ef0ebac226422098f0433915,10,15,351
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:7c694417d200f08cd1f06048f9bb9edeb0fe31736ca450413724b7e40da5ce46,11,15,66584576
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:bd4137f8d57e3d85b3fd10edb338d159913962f51eedd7b26701ae53ae1b0556,13,15,1945
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef,14,15,199680
ubuntu-upstart,latest,1741531,amd64,linux,265846907,sha256:5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef,15,15,197132288
iojs,latest,17320750,amd64,linux,679882853,sha256:5d6cbe0dbcf9a675e86aa0fbedf7ed8756d557c7468d6a7c64bde7fa9e029636,1,6,36385587
iojs,latest,17320750,amd64,linux,679882853,sha256:596280599f680a9a4c76208c304276328d05eb0462a8c66a30b2c0004ec008af,2,6,91033
iojs,latest,17320750,amd64,linux,679882853,sha256:e6562eb04a92fb5d88d8077d039a95469fa2694991222a274e8fff4db0bbbe1a,3,6,338690048
iojs,latest,17320750,amd64,linux,679882853,sha256:f078de0e3e2b9f4d254277a6798b8e4a23d486000e49fb797917c7a6b6e0096e,4,6,128974848
iojs,latest,17320750,amd64,linux,679882853,sha256:9b4c4f05a040dc79d657f6142376d053b390c57ef895def698b70c4d1b037265,5,6,46766489
iojs,latest,17320750,amd64,linux,679882853,sha256:cf20157a904bcff323de250e28246eed20dceab8c4b3de7a5ceea7c2ef8b2661,6,6,128974848
supe/ruby-env,latest,45467,amd64,linux,779238812,sha256:c69ae1aa46985cbaf186b6354c61a1d2e0d6af47133db47bf04f0c6eb9c858e9,1,20,1593835
supe/ruby-env,latest,45467,amd64,linux,779238812,sha256:5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef,2,20,25270681
supe/ruby-env,latest,45467,amd64,linux,779238812,sha256:e1edfc2952daba96568d0828950bda7d525c0c25a2581713b3153e39c6e7216a,3,20,1174405
supe/ruby-env,latest,45467,amd64,linux,779238812,sha256:d173ce545d815c586d14a767a567666c48ba0551108b99c3a4dbc2677f5cfd8e,4,20,116391936
supe/ruby-env,latest,45467,amd64,linux,779238812,sha256:34e87db95808a91e83c58acfe7fd200eb5de165812cd989e83ed67dd01ddb6a4,5,20,45
supe/ruby-env,latest,45467,amd64,linux,779238812,sha256:5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef,6,20,329252864
supe/ruby-env,latest,45467,amd64,linux,779238812,sha256:5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef,7,20,127926272
supe/ruby-env,latest,45467,amd64,linux,779238812,sha256:5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef,8,20,46556774
supe/ruby-env,latest,45467,amd64,linux,779238812,sha256:5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef,9,20,131072000
rapidoid,latest,2688835,amd64,linux,227834949,sha256:a548c9107c3a8e63d242fb718f180eecb8b6e36cd41942c24883ddb58639674c,1,6,24117248
rapidoid,latest,2688835,amd64,linux,227834949,sha256:f7e816b93eb6558eb4adcdad3a043303fef34ebae9c69c66b52dac1fa6af1d9e,2,6,330
rapidoid,latest,2688835,amd64,linux,227834949,sha256:86b49f790727c4d4a7aa53717b501dda8380734d5d1ac3abfcdf4e65eb8f6426,3,6,114294784
rapidoid,latest,2688835,amd64,linux,227834949,sha256:3b3eec53db1f38de098cc100f89d1943a8dc2e106447a5a43bfc9de2104c310d,4,6,27
rapidoid,latest,2688835,amd64,linux,227834949,sha256:5f20057cc7c841c5e799fcc303f772bb47d56bfbb598862d28f90bb9f17afe89,5,6,5117050
rapidoid,latest,2688835,amd64,linux,227834949,sha256:c15b4ca40106f314cee6730807ec1ce51adda05f54a3935d6494e521c5e9b779,6,6,84305510
zookeeper,latest,220425613,amd64,linux,315435476,sha256:b93c1bd012ab8fda60f5b4f5906bf244586e0e3292d84571d3abb56472248466,1,8,1495
zookeeper,latest,220425613,amd64,linux,315435476,sha256:04d1dcab20cb3b982103156aae7d5f41f7e72d4039792be8dae98454837e9ec7,2,8,39636172
zookeeper,latest,220425613,amd64,linux,315435476,sha256:e3922ee51bcfd162481174f60f5b77bbe71f9088606f2df3850f51c2d2068652,3,8,11114905
zookeeper,latest,220425613,amd64,linux,315435476,sha256:83e01f6d9fb190f6dda9080e3dd0a536773d4812d2a71632d3f2ab57718204b0,4,8,336896
zookeeper,latest,220425613,amd64,linux,315435476,sha256:4d1df46c1fecafc8da1e9f11793957a24a0648555ad653167485d699b3138af7,5,8,146800640
zookeeper,latest,220425613,amd64,linux,315435476,sha256:b3e75968aebaeafd8b1d80c3da70c5989e3ab6c1f7d77d467c4b03d9e9ed31d0,6,8,35966156
zookeeper,latest,220425613,amd64,linux,315435476,sha256:55bbbb3aebb7a131d0a298dd96bd44409f2fac3bcf9fc07bbec86e843388c639,7,8,81579212
kong,latest,306353521,amd64,linux,227333549,sha256:b93c1bd012ab8fda60f5b4f5906bf244586e0e3292d84571d3abb56472248466,1,4,2273
kong,latest,306353521,amd64,linux,227333549,sha256:5f7a2266bf1a5fadcda1c1d45de7dccf5fbfe76166202001dea660e5ecd4693e,2,4,145752064
kong,latest,306353521,amd64,linux,227333549,sha256:df80258e1d35488aaabb3354030c6d314b3a9d44751d5ba9e376cee1fe8838f1,3,4,81579212
aerospike:ee-6.2.0.7_1,ee-6.2.0.7_1,16863089,amd64,linux,198709166,sha256:3af14c9a24c941c626553628cf1942dcd94d40729777f2fcfbcd3b8a3dfccdd6,1,4,2222
aerospike:ee-6.2.0.7_1,ee-6.2.0.7_1,16863089,amd64,linux,198709166,sha256:21367b6cdb469c64f040bdd8c282411af21abbd1952862fd644f1416bdb12a4b,2,4,1792
aerospike:ee-6.2.0.7_1,ee-6.2.0.7_1,16863089,amd64,linux,198709166,sha256:a80f3473950c09127b23f0c3e9a095cc541a1befd25903a8a838199c9851a0bc,3,4,114294784
aerospike:ee-6.2.0.7_1,ee-6.2.0.7_1,16863089,amd64,linux,198709166,sha256:8234f58156e65796532678cce6befdd90046d8efbafa56cfc1dd6060a27c3135,4,4,84410368
joomla,latest,80863634,amd64,linux,663923385,sha256:3af14c9a24c941c626553628cf1942dcd94d40729777f2fcfbcd3b8a3dfccdd6,1,21,1157
joomla,latest,80863634,amd64,linux,663923385,sha256:b45c80a24442fcdcc7bbb616407166b8998b11634be9623ccc32904099844a51,2,21,6010
joomla,latest,80863634,amd64,linux,663923385,sha256:c4bd73e3313b668236e736cc7a72771cb8952e4268afe5c40285360b32e8aa0f,3,21,80320921
joomla,latest,80863634,amd64,linux,663923385,sha256:cfb7053350c422cfb726e8f8a4d72b8610ee6eac5528d879cdd8cc62fb1e4d4b,4,21,52531
joomla,latest,80863634,amd64,linux,663923385,sha256:8b80409103eeaab5d0b91cccf0b9433d56eaad369e7ac516ab81bfdd5246a214,5,21,331
joomla,latest,80863634,amd64,linux,663923385,sha256:07583c9c30165412b76a9485260e701007b6ed0552a31a98515f5ca56060adff,6,21,173
joomla,latest,80863634,amd64,linux,663923385,sha256:4adc4f8ad1cb16307c608a608bfa4fe0ced3f66b3631ddc785c16b35a53e6163,7,21,51380224
joomla,latest,80863634,amd64,linux,663923385,sha256:e488e800e73bca13f323d37eaa4de10a4a0171023ac730267544f1bd8229d5da,8,21,54945382
joomla,latest,80863634,amd64,linux,663923385,sha256:9f9b5770e7807412766d854a63f6b336173f759d7fb6024f1c7857846c17e62f,9,21,1382
joomla,latest,80863634,amd64,linux,663923385,sha256:1f434a91a4e142b65191fa525fbd0e8abbe907d3140a40914e3f992595179917,10,21,17
joomla,latest,80863634,amd64,linux,663923385,sha256:f4dfe6d892cd117521fe07377bd0a834f8aa03e90fad8f9f1fef19a79048da98,11,21,7383
joomla,latest,80863634,amd64,linux,663923385,sha256:6c0a8e761c04168b46fe188e29db2434a49ec29ee2d5eebe5ede2d6b360eb4cd,12,21,48129638
joomla,latest,80863634,amd64,linux,663923385,sha256:26801b112ae2387eb9b16565936ab3a8c8a41788f8ffc93c73573ca32e8c0741,13,21,587
joomla,latest,80863634,amd64,linux,663923385,sha256:ba8df4c2647572a3ca8cab92ee4baac26a3c73d026d8d5748792167fddca09d8,14,21,12687769
joomla,latest,80863634,amd64,linux,663923385,sha256:688fc0347c9f494e71ac1154c9abe78e9d38c0561b30f550071c2c37f6de0b4a,15,21,237
joomla,latest,80863634,amd64,linux,663923385,sha256:2263f0b9207342fa66e44d6a185d55344f9012f05cd67fb2c34d23571856bcb1,16,21,68
joomla,latest,80863634,amd64,linux,663923385,sha256:9589fa0680c518fcf5e5c4c4a31537b983a36c31c95a85f418cdd5339c546bc0,17,21,49912217
joomla,latest,80863634,amd64,linux,663923385,sha256:2e4d1c17936e66d3e4671e5e94d9fb8617d9f0a9f417e7efa2167f269f60d704,18,21,282066944
joomla,latest,80863634,amd64,linux,663923385,sha256:320ccbcbae3a86175b0ac1d09e5c1c03002c9d85acbd9bd0fe5b0f5ee8f2228c,19,21,46
joomla,latest,80863634,amd64,linux,663923385,sha256:d9ef6f5828462fc3a05d8a5507528b3bbab0d6821cc9c000d1ffd3792006e1c3,20,21,84410368
haskell:9.2.7-slim-buster,9.2.7-slim-buster,7605200,amd64,linux,2448718559,sha256:c9182c1309844145caf2bb754e563d431d79e768794de5b4319dd00d2384c181,1,5,2007897210
haskell:9.2.7-slim-buster,9.2.7-slim-buster,7605200,amd64,linux,2448718559,sha256:f6c0aac24e471067e95af6c1179630214327fcdd2edf174cb47885c858c9d39d,2,5,38377881
haskell:9.2.7-slim-buster,9.2.7-slim-buster,7605200,amd64,linux,2448718559,sha256:c89eb09bf80b7dc586ab7a0205cda40bde8053fb907bcdfe225edfb7f5bc07f2,3,5,59244544
haskell:9.2.7-slim-buster,9.2.7-slim-buster,7605200,amd64,linux,2448718559,sha256:58c7ea38e0099578e2bafe387f9accf20b7a164c301d8e5117462bac94ec4d36,4,5,270532608
haskell:9.2.7-slim-buster,9.2.7-slim-buster,7605200,amd64,linux,2448718559,sha256:0a53e8cb8216978bb97b471fb5841770f4ca4ab6363956f65f3d58920997c3ed,5,5,72666316
logstash:8.6.2,8.6.2,185267401,amd64,linux,767303964,sha256:d543b8cad89e3428ac8852a13cb2dbfaf55b1e10fd95a9753e51faf393d60e81,1,13,492
logstash:8.6.2,8.6.2,185267401,amd64,linux,767303964,sha256:8679120a621c8be8e824d2ad910e1aabb12f935d4c0752984e224aef18e8aeef,2,13,492
logstash:8.6.2,8.6.2,185267401,amd64,linux,767303964,sha256:cfd7d07e15c41f5f31144a79897534f30798ff472e57ee42c15b165eee9eef88,3,13,3177185
logstash:8.6.2,8.6.2,185267401,amd64,linux,767303964,sha256:f47d198a42260f379536219942b6e73e7418cf1dbe9d8b4a464289f24e1d8796,4,13,5068
logstash:8.6.2,8.6.2,185267401,amd64,linux,767303964,sha256:5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef,5,13,92
